Start time,Attack Duration,Source IP,Attack Type,Total Packets,Total Bytes
2024-10-19 00:43:47,0.0012168884277343,192.168.150.129,Smurf,2,102
2024-10-19 00:43:50,0.0007522106170654,192.168.150.129,Smurf,2,102
2024-10-19 00:43:52,0.0006864070892333,220.10.233.81,SYN flood,2,114
2024-10-19 00:43:54,0.0005333423614501,192.168.150.129,Smurf,2,102
2024-10-19 00:43:56,0.0009937286376953,188.155.138.74,SYN-ACK flood,2,114
2024-10-19 00:43:58,0.0005073547363281,135.109.190.249,Ping of Death,2,2084
2024-10-19 00:44:00,0.0007200241088867,79.161.253.204,SYN flood,2,114
2024-10-19 00:44:02,0.0003457069396972,103.253.113.247,SYN flood,2,114
2024-10-19 00:44:04,0.0002698898315429,226.57.167.118,SYN-ACK flood,2,114
2024-10-19 00:44:06,0.0006299018859863,20.176.250.144,SYN flood,2,114
2024-10-19 00:44:08,0.0006642341613769,192.168.150.129,Smurf,2,102
2024-10-19 00:44:10,0.0003089904785156,56.53.230.192,SYN flood,2,114
2024-10-19 00:44:12,0.0010082721710205,192.168.150.129,Smurf,2,102
2024-10-19 00:44:14,0.0003137588500976,65.162.174.167,SYN flood,2,114
2024-10-19 00:44:16,0.0004196166992187,82.123.235.86,Ping of Death,2,2084
2024-10-19 00:44:18,0.0002744197845458,127.1.173.80,SYN-ACK flood,2,114
2024-10-19 00:44:20,0.0012159347534179,74.237.9.11,Ping of Death,2,2084
2024-10-19 00:44:22,0.0005114078521728,138.161.80.23,SYN flood,2,114
2024-10-19 00:44:24,0.000356912612915,191.220.30.180,SYN-ACK flood,2,114
2024-10-19 00:44:26,0.0014827251434326,192.168.150.129,Smurf,2,102
2024-10-19 00:44:28,0.0012102127075195,192.168.150.129,Smurf,2,102
2024-10-19 00:44:30,0.000342845916748,120.93.127.118,SYN-ACK flood,2,114
2024-10-19 00:44:32,0.0007200241088867,192.168.150.129,Smurf,2,102
2024-10-19 00:44:34,0.0009000301361083,192.168.150.129,Smurf,2,102
2024-10-19 00:44:36,0.0009505748748779,192.168.150.129,Smurf,2,102
2024-10-19 00:44:38,0.00103759765625,192.168.150.129,Smurf,2,102
2024-10-19 00:44:40,0.0009505748748779,194.202.219.174,SYN flood,2,114
2024-10-19 00:44:42,0.000892162322998,192.168.150.129,Smurf,2,102
2024-10-19 00:44:44,0.0003995895385742,180.149.229.30,SYN-ACK flood,2,114
2024-10-19 00:44:46,0.0006630420684814,192.168.150.129,Smurf,2,102
2024-10-19 00:44:48,0.0006499290466308,192.168.150.129,Smurf,2,102
2024-10-19 00:44:50,0.0009906291961669,115.78.95.128,Ping of Death,2,2084
2024-10-19 00:44:52,0.0005078315734863,192.168.150.129,Smurf,2,102
2024-10-19 00:44:54,0.0003418922424316,57.131.75.114,SYN flood,2,114
2024-10-19 00:44:56,0.0004432201385498,222.121.210.150,SYN-ACK flood,2,114
2024-10-19 00:44:58,0.0002768039703369,60.9.242.150,SYN-ACK flood,2,114
2024-10-19 00:45:00,0.0003588199615478,0.9.230.48,Ping of Death,2,2084
2024-10-19 00:45:03,0.0007987022399902,192.168.150.129,Smurf,2,102
2024-10-19 00:45:05,0.0007221698760986,212.11.126.39,Ping of Death,2,2084
2024-10-19 00:45:07,0.0002708435058593,228.70.208.127,SYN flood,2,114
2024-10-19 00:45:09,0.0005202293395996,157.146.33.173,Ping of Death,2,2084
2024-10-19 00:45:11,0.0008435249328613,192.168.150.129,Smurf,2,102
2024-10-19 00:45:13,0.0004675388336181,218.141.135.149,Ping of Death,2,2084
2024-10-19 00:45:15,0.0018887519836425,192.168.150.129,Smurf,2,102
2024-10-19 00:45:17,0.0003323554992675,170.47.24.139,SYN-ACK flood,2,114
2024-10-19 00:45:21,0.0004613399505615,68.99.91.142,SYN flood,2,114
2024-10-19 00:45:23,0.0002732276916503,208.246.216.32,SYN-ACK flood,2,114
2024-10-19 00:45:25,0.0005874633789062,192.168.150.129,Smurf,2,102
2024-10-19 00:45:27,0.0005242824554443,180.11.168.54,Ping of Death,2,2084
2024-10-19 00:45:29,0.0005292892456054,192.168.150.129,Smurf,2,102
2024-10-19 00:45:31,0.0010333061218261,192.168.150.129,Smurf,2,102
2024-10-19 00:45:33,0.0004572868347167,109.27.39.123,SYN flood,2,114
2024-10-19 00:45:35,0.0007750988006591,192.168.150.129,Smurf,2,102
2024-10-19 00:45:37,0.0003485679626464,175.133.242.136,SYN flood,2,114
2024-10-19 00:45:39,0.0002996921539306,168.199.188.227,SYN flood,2,114
2024-10-19 00:45:41,0.0009751319885253,192.168.150.129,Smurf,2,102
2024-10-19 00:45:43,0.0004851818084716,192.168.150.129,Smurf,2,102
2024-10-19 00:45:45,0.0002968311309814,3.31.0.179,SYN flood,2,114
2024-10-19 00:45:47,0.00034761428833,133.138.131.15,SYN flood,2,114
2024-10-19 00:45:49,0.0006275177001953,108.16.195.54,SYN-ACK flood,2,114
2024-10-19 00:45:51,0.0003526210784912,230.233.143.193,SYN-ACK flood,2,114
2024-10-19 00:45:53,0.0004212856292724,119.87.139.172,Ping of Death,2,2084
2024-10-19 00:45:55,0.0006430149078369,218.174.101.183,Ping of Death,2,2084
2024-10-19 00:45:57,0.0003254413604736,86.60.161.100,SYN-ACK flood,2,114
2024-10-19 00:45:59,0.0011546611785888,192.168.150.129,Smurf,2,102
2024-10-19 00:46:01,0.0008430480957031,81.234.177.176,Ping of Death,2,2084
2024-10-19 00:46:03,0.0003750324249267,222.47.3.203,SYN-ACK flood,2,114
2024-10-19 00:46:05,0.0011255741119384,192.168.150.129,Smurf,2,102
2024-10-19 00:46:07,0.0006868839263916,192.168.150.129,Smurf,2,102
2024-10-19 00:46:09,0.0003724098205566,134.26.103.67,SYN-ACK flood,2,114
2024-10-19 00:46:11,0.0013313293457031,192.168.150.129,Smurf,2,102
2024-10-19 00:46:13,0.0003633499145507,24.220.46.52,Ping of Death,2,2084
2024-10-19 00:46:16,0.0004823207855224,214.144.80.205,Ping of Death,2,2084
2024-10-19 00:46:18,0.0014357566833496,192.168.150.129,Smurf,2,102
2024-10-19 00:46:20,0.0007028579711914,220.18.235.180,SYN-ACK flood,2,114
2024-10-19 00:46:22,0.0011179447174072,192.168.150.129,Smurf,2,102
2024-10-19 00:46:24,0.0002760887145996,230.149.2.185,SYN flood,2,114
2024-10-19 00:46:26,0.00087571144104,192.168.150.129,Smurf,2,102
2024-10-19 00:46:27,4.6253204345703125e-05,185.125.190.48,SYN-ACK flood,1,60
2024-10-19 00:46:28,0.0004093647003173,134.182.136.191,SYN flood,2,114
2024-10-19 00:46:30,0.0004241466522216,161.139.45.38,SYN-ACK flood,2,114
2024-10-19 00:46:32,0.0003547668457031,225.182.166.122,Ping of Death,2,2084
2024-10-19 00:46:34,0.0008037090301513,192.168.150.129,Smurf,2,102
2024-10-19 00:46:36,0.0007281303405761,140.83.200.8,Ping of Death,2,2084
2024-10-19 00:46:38,0.0007562637329101,194.19.178.4,SYN flood,2,114
2024-10-19 00:46:40,0.0003039836883544,189.203.117.114,SYN-ACK flood,2,114
2024-10-19 00:46:42,0.0008471012115478,190.4.7.206,SYN flood,2,114
2024-10-19 00:46:44,0.0005762577056884,192.168.150.129,Smurf,2,102
2024-10-19 00:46:46,0.0004549026489257,105.99.231.99,SYN-ACK flood,2,114
2024-10-19 00:46:48,0.000500202178955,61.155.54.18,SYN flood,2,114
2024-10-19 00:46:50,0.000314712524414,234.193.47.167,SYN-ACK flood,2,114
2024-10-19 00:46:52,0.0006103515625,192.168.150.129,Smurf,2,102
2024-10-19 00:46:54,0.0004994869232177,104.54.109.142,SYN-ACK flood,2,114
2024-10-19 00:46:56,0.0007290840148925,230.166.153.246,Ping of Death,2,2084
2024-10-19 00:46:58,0.0007104873657226,132.73.126.30,SYN flood,2,114
2024-10-19 00:47:00,0.001357078552246,192.168.150.129,Smurf,2,102
2024-10-19 00:47:02,0.0004279613494873,60.250.213.75,Ping of Death,2,2084
2024-10-19 00:47:04,0.00048828125,112.6.113.20,Ping of Death,2,2084
2024-10-19 00:47:06,0.0011200904846191,192.168.150.129,Smurf,2,102
2024-10-19 00:47:08,0.0004169940948486,184.91.165.4,SYN flood,2,114
2024-10-19 00:47:10,0.0004584789276123,128.106.76.90,SYN flood,2,114
2024-10-19 00:47:12,0.0004289150238037,101.87.12.211,SYN flood,2,114
2024-10-19 00:47:14,0.000392198562622,168.218.142.121,SYN-ACK flood,2,114
2024-10-19 00:47:16,0.0009145736694335,133.142.173.156,Ping of Death,2,2084
2024-10-19 00:47:18,0.0004043579101562,10.30.77.78,SYN-ACK flood,2,114
2024-10-19 00:47:20,0.0010130405426025,192.168.150.129,Smurf,2,102
2024-10-19 00:47:22,0.0003914833068847,217.34.82.55,Ping of Death,2,2084
2024-10-19 00:47:24,0.0003926753997802,55.185.254.118,SYN flood,2,114
2024-10-19 00:47:26,0.0012481212615966,192.168.150.129,Smurf,2,102
2024-10-19 00:47:28,0.0003068447113037,65.243.188.178,SYN flood,2,114
2024-10-19 00:47:31,0.000314712524414,13.241.2.126,SYN-ACK flood,2,114
2024-10-19 00:47:33,0.0005943775177001,134.114.244.205,SYN-ACK flood,2,114
2024-10-19 00:47:35,0.0003902912139892,204.42.50.44,SYN flood,2,114
2024-10-19 00:47:37,0.0010163784027099,192.168.150.129,Smurf,2,102
2024-10-19 00:47:39,0.0005702972412109,36.160.212.62,Ping of Death,2,2084
2024-10-19 00:47:41,0.0006730556488037,246.215.51.97,SYN flood,2,114
2024-10-19 00:47:43,0.0005972385406494,36.68.84.114,Ping of Death,2,2084
2024-10-19 00:47:45,0.0007209777832031,192.168.150.129,Smurf,2,102
2024-10-19 00:47:47,0.0010631084442138,192.168.150.129,Smurf,2,102
2024-10-19 00:47:49,0.0003819465637207,243.132.40.245,Ping of Death,2,2084
2024-10-19 00:47:51,0.0007641315460205,140.52.110.185,Ping of Death,2,2084
2024-10-19 00:47:53,0.0002737045288085,52.155.70.172,SYN-ACK flood,2,114
2024-10-19 00:47:55,0.0006272792816162,108.64.184.23,SYN-ACK flood,2,114
2024-10-19 00:47:57,0.0007631778717041,40.112.36.204,SYN flood,2,114
2024-10-19 00:47:59,0.0009841918945312,192.168.150.129,Smurf,2,102
2024-10-19 00:48:01,0.0004360675811767,152.254.218.84,SYN flood,2,114
2024-10-19 00:48:03,0.0010313987731933,168.197.26.194,SYN flood,2,114
2024-10-19 00:48:07,0.0009145736694335,192.14.186.223,SYN flood,2,114
2024-10-19 00:48:09,0.0013561248779296,192.168.150.129,Smurf,2,102
2024-10-19 00:48:11,0.0007159709930419,90.193.222.70,SYN flood,2,114
2024-10-19 00:48:13,0.0008449554443359,192.168.150.129,Smurf,2,102
2024-10-19 00:48:15,0.000394582748413,200.105.99.19,SYN-ACK flood,2,114
2024-10-19 00:48:17,0.0009279251098632,192.168.150.129,Smurf,2,102
2024-10-19 00:48:19,0.0017702579498291,192.168.150.129,Smurf,2,102
2024-10-19 00:48:21,0.0003612041473388,145.186.101.25,SYN-ACK flood,2,114
2024-10-19 00:48:23,0.000535249710083,26.38.12.128,SYN-ACK flood,2,114
2024-10-19 00:48:25,0.0008385181427001,192.168.150.129,Smurf,2,102
2024-10-19 00:48:27,0.0003213882446289,79.41.126.155,SYN-ACK flood,2,114
2024-10-19 00:48:29,0.000709056854248,192.168.150.129,Smurf,2,102
2024-10-19 00:48:31,0.0010128021240234,204.103.40.25,SYN flood,2,114
2024-10-19 00:48:33,0.0004754066467285,73.48.144.137,SYN-ACK flood,2,114
2024-10-19 00:48:35,0.0006055831909179,32.106.210.239,Ping of Death,2,2084
2024-10-19 00:48:37,0.0003457069396972,49.90.64.61,SYN-ACK flood,2,114
2024-10-19 00:48:39,0.0006186962127685,170.15.82.9,SYN-ACK flood,2,114
2024-10-19 00:48:41,0.001957893371582,192.168.150.129,Smurf,2,102
2024-10-19 00:48:43,0.0003526210784912,200.56.211.224,Ping of Death,2,2084
2024-10-19 00:48:46,0.0004379749298095,9.90.186.2,SYN flood,2,114
2024-10-19 00:48:48,0.0003695487976074,210.51.217.241,Ping of Death,2,2084
2024-10-19 00:48:50,0.0005812644958496,192.168.150.129,Smurf,2,102
2024-10-19 00:48:56,0.001406192779541,192.168.150.129,Smurf,2,102
2024-10-19 00:48:58,0.0015954971313476,192.168.150.129,Smurf,2,102
2024-10-19 00:49:00,0.0011065006256103,192.168.150.129,Smurf,2,102
2024-10-19 00:49:02,0.0004107952117919,29.230.4.194,Ping of Death,2,2084
2024-10-19 00:49:04,0.0006272792816162,83.130.7.242,SYN-ACK flood,2,114
2024-10-19 00:49:06,0.0013647079467773,192.168.150.129,Smurf,2,102
2024-10-19 00:49:08,0.0006070137023925,192.168.150.129,Smurf,2,102
2024-10-19 00:49:10,0.0006787776947021,192.168.150.129,Smurf,2,102
2024-10-19 00:49:12,0.0012464523315429,192.168.150.129,Smurf,2,102
2024-10-19 00:49:14,0.0003199577331542,152.175.224.70,SYN-ACK flood,2,114
2024-10-19 00:49:16,0.0003962516784667,35.76.191.28,SYN flood,2,114
2024-10-19 00:49:18,0.0003638267517089,224.239.175.20,SYN-ACK flood,2,114
2024-10-19 00:49:20,0.0004506111145019,163.254.146.193,Ping of Death,2,2084
2024-10-19 00:49:22,0.0004546642303466,171.167.39.74,SYN-ACK flood,2,114
2024-10-19 00:49:24,0.0004804134368896,190.194.190.227,SYN-ACK flood,2,114
2024-10-19 00:49:26,0.0008227825164794,192.168.150.129,Smurf,2,102
2024-10-19 00:49:28,0.000291109085083,247.98.4.210,SYN-ACK flood,2,114
2024-10-19 00:49:30,0.0006098747253417,192.168.150.129,Smurf,2,102
2024-10-19 00:49:32,0.0003225803375244,57.135.8.213,SYN-ACK flood,2,114
2024-10-19 00:49:34,0.0016205310821533,192.168.150.129,Smurf,2,102
2024-10-19 00:49:36,0.0005130767822265,83.147.177.89,Ping of Death,2,2084
2024-10-19 00:49:38,0.0005133152008056,183.187.6.115,Ping of Death,2,2084
2024-10-19 00:49:40,0.0005221366882324,202.71.153.88,Ping of Death,2,2084
2024-10-19 00:49:42,0.0004169940948486,193.251.115.224,SYN flood,2,114
2024-10-19 00:49:44,0.0005886554718017,176.2.27.171,SYN flood,2,114
2024-10-19 00:49:46,0.0003845691680908,100.58.159.96,Ping of Death,2,2084
2024-10-19 00:49:48,0.0003726482391357,154.199.169.143,SYN flood,2,114
2024-10-19 00:49:51,0.0005550384521484,184.69.118.255,Ping of Death,2,2084
2024-10-19 00:49:53,0.0002748966217041,10.207.61.45,SYN flood,2,114
2024-10-19 00:49:55,0.0008094310760498,52.3.81.174,SYN-ACK flood,2,114
2024-10-19 00:49:57,0.0005662441253662,192.168.150.129,Smurf,2,102
2024-10-19 00:49:59,0.0003371238708496,6.97.203.69,SYN flood,2,114
2024-10-19 00:50:01,0.0004193782806396,184.203.56.28,Ping of Death,2,2084
2024-10-19 00:50:03,0.0004377365112304,102.112.203.16,SYN-ACK flood,2,114
2024-10-19 00:50:05,0.0004856586456298,158.5.40.83,SYN-ACK flood,2,114
2024-10-19 00:50:07,0.0003349781036376,169.23.222.197,SYN-ACK flood,2,114
2024-10-19 00:50:09,0.0004589557647705,245.155.200.82,SYN flood,2,114
2024-10-19 00:50:11,0.0005998611450195,8.181.128.76,SYN flood,2,114
2024-10-19 00:50:13,0.0002996921539306,10.172.96.109,SYN flood,2,114
2024-10-19 00:50:15,0.0004079341888427,151.253.79.50,Ping of Death,2,2084
2024-10-19 00:50:17,0.000450849533081,67.206.0.21,Ping of Death,2,2084
2024-10-19 00:50:19,0.000364065170288,68.124.170.141,SYN flood,2,114
2024-10-19 00:50:21,0.000490665435791,46.113.28.152,Ping of Death,2,2084
2024-10-19 00:50:23,0.0013654232025146,192.168.150.129,Smurf,2,102
2024-10-19 00:50:25,0.0010807514190673,192.168.150.129,Smurf,2,102
2024-10-19 00:50:27,0.0006177425384521,237.110.90.203,SYN flood,2,114
2024-10-19 00:50:29,0.0005764961242675,54.10.225.240,SYN-ACK flood,2,114
2024-10-19 00:50:31,0.0002808570861816,255.100.5.196,SYN flood,2,114
2024-10-19 00:50:33,0.0003190040588378,197.159.89.241,SYN flood,2,114
2024-10-19 00:50:35,0.0008459091186523,47.11.115.213,SYN flood,2,114
2024-10-19 00:50:37,0.0003962516784667,210.94.120.203,SYN flood,2,114
2024-10-19 00:50:39,0.0006024837493896,192.168.150.129,Smurf,2,102
2024-10-19 00:50:41,0.0006017684936523,123.27.74.233,SYN flood,2,114
2024-10-19 00:50:43,0.0004866123199462,2.238.70.22,SYN flood,2,114
2024-10-19 00:50:45,0.0012938976287841,192.168.150.129,Smurf,2,102
2024-10-19 00:50:47,0.0004825592041015,241.219.42.68,Ping of Death,2,2084
2024-10-19 00:50:49,0.0013835430145263,192.168.150.129,Smurf,2,102
2024-10-19 00:50:51,0.0003340244293212,77.28.2.103,SYN flood,2,114
2024-10-19 00:50:53,0.0005006790161132,88.254.197.10,SYN flood,2,114
2024-10-19 00:50:55,0.0004267692565917,1.170.227.217,Ping of Death,2,2084
2024-10-19 00:50:57,0.0004811286926269,152.179.133.110,Ping of Death,2,2084
2024-10-19 00:50:59,0.0011584758758544,192.168.150.129,Smurf,2,102
2024-10-19 00:51:01,0.00032639503479,202.169.12.132,SYN flood,2,114
2024-10-19 00:51:04,0.0006525516510009,47.4.64.190,Ping of Death,2,2084
2024-10-19 00:51:06,0.000340461730957,143.15.11.156,SYN-ACK flood,2,114
2024-10-19 00:51:08,0.0007226467132568,41.220.122.20,SYN-ACK flood,2,114
2024-10-19 00:51:10,0.0003595352172851,223.79.123.81,SYN flood,2,114
2024-10-19 00:51:12,0.0005247592926025,222.124.162.76,SYN-ACK flood,2,114
2024-10-19 00:51:14,0.0004501342773437,24.245.135.213,Ping of Death,2,2084
2024-10-19 00:51:16,0.0008683204650878,192.168.150.129,Smurf,2,102
2024-10-19 00:51:18,0.000274658203125,188.181.75.212,SYN-ACK flood,2,114
2024-10-19 00:51:20,0.000368595123291,24.238.33.56,Ping of Death,2,2084
2024-10-19 00:51:22,0.0019624233245849,192.168.150.129,Smurf,2,102
2024-10-19 00:51:24,0.0004427433013916,101.10.44.187,SYN flood,2,114
2024-10-19 00:51:26,0.0006849765777587,237.24.115.167,SYN-ACK flood,2,114
2024-10-19 00:51:27,7.05718994140625e-05,185.125.190.18,SYN-ACK flood,1,60
2024-10-19 00:51:28,0.0010962486267089,192.168.150.129,Smurf,2,102
2024-10-19 00:51:30,0.0010895729064941,192.168.150.129,Smurf,2,102
2024-10-19 00:51:32,0.0004129409790039,213.75.220.78,SYN flood,2,114
2024-10-19 00:51:34,0.0004746913909912,230.160.193.61,SYN flood,2,114
2024-10-19 00:51:36,0.0003585815429687,12.16.188.247,SYN flood,2,114
2024-10-19 00:51:38,0.0004949569702148,176.150.192.209,SYN flood,2,114
2024-10-19 00:51:40,0.0002822875976562,25.42.152.41,SYN flood,2,114
2024-10-19 00:51:42,0.0012741088867187,192.168.150.129,Smurf,2,102
2024-10-19 00:51:44,0.0003166198730468,75.70.104.30,SYN flood,2,114
2024-10-19 00:51:46,0.0004189014434814,250.244.151.66,Ping of Death,2,2084
2024-10-19 00:51:48,0.0006186962127685,114.209.172.130,SYN flood,2,114
2024-10-19 00:51:50,0.0014455318450927,192.168.150.129,Smurf,2,102
2024-10-19 00:51:52,0.0006754398345947,194.155.212.130,SYN-ACK flood,2,114
2024-10-19 00:51:54,0.000990867614746,192.168.150.129,Smurf,2,102
2024-10-19 00:51:56,0.0007390975952148,32.110.150.3,SYN-ACK flood,2,114
2024-10-19 00:51:58,0.0005123615264892,43.244.224.248,SYN-ACK flood,2,114
2024-10-19 00:52:00,0.0005910396575927,161.154.82.195,SYN flood,2,114
2024-10-19 00:52:02,0.0004692077636718,98.112.130.194,SYN-ACK flood,2,114
2024-10-19 00:52:04,0.0005838871002197,192.168.150.129,Smurf,2,102
2024-10-19 00:52:06,0.0003271102905273,212.121.125.199,SYN-ACK flood,2,114
2024-10-19 00:52:08,0.0006113052368164,99.206.62.146,SYN flood,2,114
2024-10-19 00:52:10,0.0008425712585449,158.128.138.247,SYN flood,2,114
2024-10-19 00:52:12,0.0003910064697265,174.33.182.229,SYN flood,2,114
2024-10-19 00:52:15,0.0003485679626464,120.136.128.101,Ping of Death,2,2084
2024-10-19 00:52:17,0.0002939701080322,34.82.127.237,SYN flood,2,114
2024-10-19 00:52:19,0.0004999637603759,188.46.122.19,SYN flood,2,114
2024-10-19 00:52:21,0.00054931640625,227.110.137.230,SYN flood,2,114
2024-10-19 00:52:23,0.0004401206970214,11.95.51.126,SYN flood,2,114
2024-10-19 00:52:25,0.0006115436553955,199.8.226.5,SYN flood,2,114
2024-10-19 00:52:27,0.0007405281066894,192.168.150.129,Smurf,2,102
2024-10-19 00:52:29,0.0004715919494628,36.168.255.176,Ping of Death,2,2084
2024-10-19 00:52:31,0.0005793571472167,220.78.149.238,SYN flood,2,114
2024-10-19 00:52:33,0.000403881072998,230.112.186.29,Ping of Death,2,2084
2024-10-19 00:52:35,0.0003612041473388,98.71.88.212,SYN flood,2,114
